baricenter: (0.008500000000000035, -0.003499999999999965, 0.0)
TIME 0.002190, pos: 8.550894e-03 -3.446959e-03, Found 4658
baricenter: (0.008500000000000035, -0.003499999999999965, 0.0)
TIME 0.002200, pos: 8.716244e-03 -3.016585e-03, Found 4658
baricenter: (0.008500000000000035, -0.003499999999999965, 0.0)
TIME 0.002210, pos: 8.859938e-03 -2.578297e-03, Found 4758
baricenter: (0.008500000000000035, -0.0024999999999999654, 0.0)
TIME 0.002220, pos: 8.981597e-03 -2.133182e-03, Found 4758
baricenter: (0.008500000000000035, -0.0024999999999999654, 0.0)
TIME 0.002230, pos: 9.080900e-03 -1.682348e-03, Found 4859
baricenter: (0.009500000000000036, -0.0014999999999999653, 0.0)
TIME 0.002240, pos: 9.157577e-03 -1.226918e-03, Found 4859
baricenter: (0.009500000000000036, -0.0014999999999999653, 0.0)
TIME 0.002250, pos: 9.211418e-03 -7.680270e-04, Found 4959
baricenter: (0.009500000000000036, -0.0004999999999999653, 0.0)
TIME 0.002260, pos: 9.242268e-03 -3.068201e-04, Found 4959
baricenter: (0.009500000000000036, -0.0004999999999999653, 0.0)
TIME 0.002270, pos: 9.250000e-03 0.000000e+00, Found 4959
baricenter: (0.009500000000000036, -0.0004999999999999653, 0.0)
TIME 0.002280, pos: 9.243300e-03 4.404901e-04, Found 5059
baricenter: (0.009500000000000036, 0.0005000000000000347, 0.0)
TIME 0.002290, pos: 9.215626e-03 8.803419e-04, Found 5059
baricenter: (0.009500000000000036, 0.0005000000000000347, 0.0)
TIME 0.002300, pos: 9.167025e-03 1.318557e-03, Found 5159
baricenter: (0.009500000000000036, 0.0015000000000000347, 0.0)
TIME 0.002310, pos: 9.097590e-03 1.754140e-03, Found 5159
baricenter: (0.009500000000000036, 0.0015000000000000347, 0.0)
TIME 0.002320, pos: 9.007461e-03 2.186100e-03, Found 5259
baricenter: (0.009500000000000036, 0.0025000000000000347, 0.0)
TIME 0.002330, pos: 8.896825e-03 2.613454e-03, Found 5258
baricenter: (0.008500000000000035, 0.0025000000000000347, 0.0)
TIME 0.002340, pos: 8.765918e-03 3.035230e-03, Found 5358
baricenter: (0.008500000000000035, 0.0035000000000000348, 0.0)
TIME 0.002350, pos: 8.615018e-03 3.450465e-03, Found 5358
baricenter: (0.008500000000000035, 0.0035000000000000348, 0.0)
TIME 0.002360, pos: 8.444453e-03 3.858213e-03, Found 5358
baricenter: (0.008500000000000035, 0.0035000000000000348, 0.0)
TIME 0.002370, pos: 8.254594e-03 4.257541e-03, Found 5458
baricenter: (0.008500000000000035, 0.004500000000000035, 0.0)
TIME 0.002380, pos: 8.045855e-03 4.647537e-03, Found 5458
baricenter: (0.008500000000000035, 0.004500000000000035, 0.0)
TIME 0.002390, pos: 7.818694e-03 5.027310e-03, Found 5557
baricenter: (0.007500000000000034, 0.005500000000000034, 0.0)
TIME 0.002400, pos: 7.573612e-03 5.395988e-03, Found 5557
baricenter: (0.007500000000000034, 0.005500000000000034, 0.0)
TIME 0.002410, pos: 7.311150e-03 5.752726e-03, Found 5557
baricenter: (0.007500000000000034, 0.005500000000000034, 0.0)
TIME 0.002420, pos: 7.031889e-03 6.096706e-03, Found 5657
baricenter: (0.007500000000000034, 0.006500000000000034, 0.0)
TIME 0.002430, pos: 6.736450e-03 6.427136e-03, Found 5656
baricenter: (0.006500000000000035, 0.006500000000000034, 0.0)
TIME 0.002440, pos: 6.425490e-03 6.743256e-03, Found 5656
